CATEGORIE_EVENEMENT|TITRE_EVENEMENT|DEBUT_EVENEMENT|FIN_EVENEMENT|HORAIRE_EVENEMENT|COUT_EVENEMENT|DESCRIPTION_EVENEMENT|RENSEIGNEMENT_EVENEMENT|TEL1_EVENEMENT|TEL2_EVENEMENT|COURRIEL_EVENEMENT|URL_EVENEMENT|NOMLIEU_EVENEMENT|COMPLEMENT_LIEU_EVENEMENT|ADRESSE_EVENEMENT|TEL_LIEU|NOM_ARRONDISSEMENT
Animation|Pique-nique La tablee|2015-06-27|2015-06-27|11 h 30 en continu|0|Apportez votre lunch et venez feter dans une ambiance rappelant les grandes tablees d'autrefois! Le programme est diversifie : un spectacle de musique, de la danse, des prestations de magie, des jeux d'antan, des seances de maquillage, des activites d'initiation a l'horticulture. L'entree est libre, aucune reservation n'est necessaire.|2|418-654-4576||||Centre d'interpretation historique de Sainte-Foy||2825, chemin Sainte-Foy|418-654-4576|Sainte-Foy-Sillery-Cap-Rouge
Conference|John Neilson, le Franklin canadien|2015-10-20|2015-10-20|19 h 30|2|La Societe d'histoire de Sainte-Foy vous presente une conference de Mme Claude Corriveau, commissaire de l'exposition, portant sur un acteur influent de la Ville de Quebec, John Neilson. D'origine ecossaise, M. Neilson a ete actif tant dans les domaines de l'edition, de la politique et de la culture que dans ceux de l'education et de l'agriculture.|0|418-641-6301-4082||historiesaintefoy@gmail.com|http://societeshistoirequebec.qc.ca|Centre d'interpretation historique de Sainte-Foy||2825, chemin Sainte-Foy|418-654-4576|Sainte-Foy-Sillery-Cap-Rouge
Exposition|Sainte-Foy, l'histoire d'une ville, exposition permanente|2015-03-01|2015-12-13|Jusqu'au 31 mars inclusivement, les samedis et dimanches, de 13 h a 17 h A compter du 1er avril, du mercredi au dimanche, de 13 h a 17 h|0|L'exposition raconte les 300 ans de l'evolution du secteur de Sainte-Foy. A travers les temoignages de citoyens et au moyen de documents divers, elle retrace l'histoire du pont de Quebec, de la bataille de Sainte-Foy et plusieurs autres realites liees au passe des Fideens et des Fideennes.|5|418-654-4576|||http://www.maisonsdupatrimoine.com|Centre d'interpretation historique de Sainte-Foy||2825, chemin Sainte-Foy|418-654-4576|Sainte-Foy-Sillery-Cap-Rouge
Activite familiale|Mission Cartier-Brebeuf|2015-06-13|2015-06-13||0|Mission Cartier-Brebeuf, c'est LE rallye plein air de l'ete! Un parcours etoffe aux epreuves enlevantes, parseme d'indices ou les habiletes physiques, les enigmes historiques et la nature se cotoient. Tour d'escalade, caricature numerique, spectacle, animations, bricolage et plusieurs autres surprises. Serez-vous des notres ?|2|418-648-7016||quebec.ev-ve@pc.gc.ca|http://www.pc.gc.ca/brebeuf|Lieu historique national Cartier-Brebeuf||175, rue de l'Espinay|418--|La Cite-Limoilou
Activite familiale|Fete de Cartier|2015-08-22|2015-08-22|De 11 h a 17 h|0|Soyez des notres lors de cette grande kermesse familiale! Epluchette de ble d'Inde, spectacle pour enfants, maquillage fantastique, musique, bricolage, jeux gonflables et degustation de mets issus du patrimoine. Du plaisir pour toute la famille!|2|418-648-7016||quebec.ev-ve@pc.gc.ca|http://www.pc.gc.ca/brebeuf|Lieu historique national Cartier-Brebeuf||175, rue de l'Espinay|418--|La Cite-Limoilou
Activite familiale|Cinema en plein air « Cendrillon »|2015-07-08|2015-07-08|A la brunante, vers 20 h 45|0|Le pere de la jeune Ella, s'est remarie apres la mort  de sa mere. Pour l'amour de son pere, elle accueille a bras ouverts sa nouvelle belle-mere et ses deux filles. Mais lorsque le pere d'Ella disparait a son tour, la jeune fille se retrouve a la merci de sa nouvelle famille, jalouse et cruelle. |5|418-641-6044||||Parc Saint-Pierre||5295, rue des Violettes|418--|Charlesbourg
Activite petit budget|Cinema en plein air « Cendrillon »|2015-07-08|2015-07-08|A la brunante, vers 20 h 45|0|Le pere de la jeune Ella, s'est remarie apres la mort  de sa mere. Pour l'amour de son pere, elle accueille a bras ouverts sa nouvelle belle-mere et ses deux filles. Mais lorsque le pere d'Ella disparait a son tour, la jeune fille se retrouve a la merci de sa nouvelle famille, jalouse et cruelle. |5|418-641-6044||||Parc Saint-Pierre||5295, rue des Violettes|418--|Charlesbourg
Activites estivales|Cinema en plein air « Cendrillon »|2015-07-08|2015-07-08|A la brunante, vers 20 h 45|0|Le pere de la jeune Ella, s'est remarie apres la mort  de sa mere. Pour l'amour de son pere, elle accueille a bras ouverts sa nouvelle belle-mere et ses deux filles. Mais lorsque le pere d'Ella disparait a son tour, la jeune fille se retrouve a la merci de sa nouvelle famille, jalouse et cruelle. |5|418-641-6044||||Parc Saint-Pierre||5295, rue des Violettes|418--|Charlesbourg
Cinema|Cinema en plein air « Cendrillon »|2015-07-08|2015-07-08|A la brunante, vers 20 h 45|0|Le pere de la jeune Ella, s'est remarie apres la mort  de sa mere. Pour l'amour de son pere, elle accueille a bras ouverts sa nouvelle belle-mere et ses deux filles. Mais lorsque le pere d'Ella disparait a son tour, la jeune fille se retrouve a la merci de sa nouvelle famille, jalouse et cruelle. |5|418-641-6044||||Parc Saint-Pierre||5295, rue des Violettes|418--|Charlesbourg
Activite familiale|Rendez-vous d'Aout|2015-08-08|2015-08-09||1|Venez en grand nombre assister a ces spectacles d'envergure: Hommage a Edith Piaf, l'Orchestre symphonique de Quebec, Shirley Theroux et Marc Hervieux.|0|418-681-7800-221||clss@clss.qc.ca|http://clss.qc.ca|Centre de loisirs Saint-Sacrement||1360, boulevard de l'Entente|418-681-7800-221|La Cite-Limoilou
Musique|Ami reviens - 10e anniversaire|2015-05-23|2015-05-23|16 h 30|2|10 ans, ca se souligne dignement! Le Choeur de La Cite, sous la direction de Carole Bellavance,  vous presente une soiree remplie de plaisirs et de souvenirs.  Au programme, Vigneault, Plamondon, Lelievre, Desjardins, ZAZ, Trenet et bien d'autres.  Venez chanter avec nous!  |0|||info@lechoeurdelacite.com||Centre Mgr Marcoux||1885, chemin de la Canardiere|418-661-7766|La Cite-Limoilou
Activite petit budget|Grand marche aux puces annuel|2015-05-30|2015-05-30|De 9 h a 16 h|0|Venez assister a un grand marche aux puces sur le stationnement du Centre Mgr Marcoux. Il est possible de reserver des tables a partir du 11 mai.|3|418-661-7766-0||administration@centremgrmarcoux.com|http://www.centremgrmarcoux.com|Centre Mgr Marcoux||1885, chemin de la Canardiere|418-661-7766|La Cite-Limoilou
Eveil a la lecture|Bibliobebe (Trois petits loups)|2015-05-26|2015-05-26|9 h 30|2|Les petits abonnes et leurs parents entrent en douceur dans le monde des livres par differentes activites : comptine, histoire, jeux et activites portant sur une thematique. Avec Josee Leblanc d'apres le livre d'Eric Battut aux editions Auzou.|-1|418-641-6223||||Bibliotheque Aliette-Marchand||243, boulevard Pierre-Bertrand|418-641-6223|Les Rivieres
Activite familiale|Gala de natation (nage synchronisee)|2015-06-06|2015-06-06|De 15 h a 17 h 30|3|Spectacle en piscine. Venez encourager ces athletes en herbe.|5|418-682-5007||synchrolesdauphines@hotmail.com||Complexe Jean-Paul-Nolin||340, rue Chabot|418--|Les Rivieres
Divers|Gala de natation (nage synchronisee)|2015-06-06|2015-06-06|De 15 h a 17 h 30|3|Spectacle en piscine. Venez encourager ces athletes en herbe.|5|418-682-5007||synchrolesdauphines@hotmail.com||Complexe Jean-Paul-Nolin||340, rue Chabot|418--|Les Rivieres
Sports|Gala de natation (nage synchronisee)|2015-06-06|2015-06-06|De 15 h a 17 h 30|3|Spectacle en piscine. Venez encourager ces athletes en herbe.|5|418-682-5007||synchrolesdauphines@hotmail.com||Complexe Jean-Paul-Nolin||340, rue Chabot|418--|Les Rivieres
Fete nationale du Quebec|Fete du 3 juillet|2015-07-03|2015-07-03|De 17 h a 21 h 30|0|Venez celebrer la fete de Quebec au Parc Bardy. Une fete familiale haute en couleur qui saura ravir petits et grands. Soyez des notres!Deroulement• 17 h a 18 h 30: Animation, maquillage, jeux d'adresse et bricolage• 18 h 30 a 19 h : Un gateau, des brochettes de fruits et un punch vous seront servis gratuitement (quantite limitee)• 19 h : Spectacle pour toute la famille• 20 h : Cinema en plein air (apportez vos chaises et couvertures)• 21 h 30: Fin de l'activite|3|418-641-6101-2983||||Parc Bardy|||418--|La Cite-Limoilou
Musique|Emile Proulx-Cloutier|2015-05-28|2015-05-29|20 h|1|Les chansons d'Emile Proulx-Cloutier se vivent comme des contes, des petits films, des vols express au cœur de personnages plus grands que nature. A travers eux, l'acteur-chanteur-raconteur se revele comme jamais auparavant. Porte par ses mots et le groove de musiciens multi-instrumentistes, on voyage de la tragedie a la franche rigolade, du slam a la berceuse, du chaos des villes au souffle de la mer. Amoureux de la langue, il reve de mots qui seraient comme des diamants dans la bouche : ca fait mal, mais ca brille! Attention : fragile et explosif!|-1|418-643-8131|88-643-8131|gtq@grandtheatre.qc.ca|http://www.grandtheatre.qc.ca|Grand Theatre de Quebec|Salle Octave-Cremazie|269, boul. Rene-Levesque Est|418--|La Cite-Limoilou
Musique|Tocadeo|2015-05-30|2015-05-30|20 h|1|Le tres populaire quatuor TOCADEO etait de retour avec un nouveau spectacle et un nouvel album a l'automne 2014. Grace a un repertoire qui saura toucher droit au cœur les nostalgiques et les amoureux de grandes chansons, les interpretes vous entraineront dans un univers grandiose et chaleureux. Dans un nouveau decor a la fine pointe de la technologie, TOCADEO vous en mettra plein la vue et les oreilles.  Avec classe et humour, ils vous charmeront assurement!|-1|418-643-8131|888-643-8131|gtq@grandtheatre.qc.ca|http://www.grandtheatre.qc.ca|Grand Theatre de Quebec|Salle Octave-Cremazie|269, boul. Rene-Levesque Est|418--|La Cite-Limoilou
Danse|Quotient Empirique par le groupe RubberbanDANCE|2015-05-21|2015-05-23|20 h|1|Fusionnant danse urbaine et contemporaine, danse populaire de rue et hip-hop, Quotient Empirique est le fruit du travail, au cours des dix dernieres annees, du choregraphe Victor Quijada. Par un meticuleux travail d'hybridation de gestuelle formelle et underground, le createur combine  figures architecturales et organiques. Il evoque des etats opposes, des perceptions que l'on a de soi-meme puis l'identite qui change au fil du temps et des experiences. De cette danse raffinee et impetueuse, magnifiquement interpretee par des athletes hallucinants, nait une œuvre eblouissante et magnetique qui penetre l'ame. Voila un spectacle dont la parfaite orchestration demontre que la technique RUBBERBAND — rigoureusement developpee depuis presque une decennie — a atteint sa pleine maturite.|-1|418-649-5013-1|418-643-8131|gtq@grandtheatre.qc.ca|http://www.larotonde.qc.ca|Grand Theatre de Quebec|Salle Octave-Cremazie|269, boul. Rene-Levesque Est|418--|La Cite-Limoilou
Activite familiale|Cinema en plein air presente Les pingouins de Madagascar|2015-06-26|2015-06-26|A la brunante|0|Cinema d'animation (G)Las de marcher a la file indienne en direction de nulle part, dans leur « toundra glacee » natale, trois pingouins decident de quitter leur fratrie pour se lancer dans de folles aventures. Leur premiere mission : rescaper un œuf de la couvee qui glisse a toute allure en chute libre. A l'eclosion de leur œuf protege, tous adoptent sans tarder le petit Private et font du jeune palmipede un membre a part entiere de leur clan. Ensemble, les quatre oiseaux deviennent de redoutables espions, friands de Cheezy Dibbles, qui parcourent le globe pour dejouer les plans de Dave, une pieuvre vengeresse ayant mis au point le serum Medusa, capable de rendre hideuses les creatures les plus adorables.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Cinema|Cinema en plein air presente Les pingouins de Madagascar|2015-06-26|2015-06-26|A la brunante|0|Cinema d'animation (G)Las de marcher a la file indienne en direction de nulle part, dans leur « toundra glacee » natale, trois pingouins decident de quitter leur fratrie pour se lancer dans de folles aventures. Leur premiere mission : rescaper un œuf de la couvee qui glisse a toute allure en chute libre. A l'eclosion de leur œuf protege, tous adoptent sans tarder le petit Private et font du jeune palmipede un membre a part entiere de leur clan. Ensemble, les quatre oiseaux deviennent de redoutables espions, friands de Cheezy Dibbles, qui parcourent le globe pour dejouer les plans de Dave, une pieuvre vengeresse ayant mis au point le serum Medusa, capable de rendre hideuses les creatures les plus adorables.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Activite familiale|Cinema en plein air presente La-haut|2015-08-07|2015-08-07|A la brunante|0|Cinema d'animation. (G)Lorsque sa chere epouse meurt, un vieillard attache des ballons a sa maison et il s'envole vers l'Amerique du Sud a la recherche d'un paradis perdu, sans savoir qu'un passager clandestin de 8 ans s'est aventure a bord.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Cinema|Cinema en plein air presente La-haut|2015-08-07|2015-08-07|A la brunante|0|Cinema d'animation. (G)Lorsque sa chere epouse meurt, un vieillard attache des ballons a sa maison et il s'envole vers l'Amerique du Sud a la recherche d'un paradis perdu, sans savoir qu'un passager clandestin de 8 ans s'est aventure a bord.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Activite familiale|Cinema en plein air presente Cendrillon (2015)|2015-07-10|2015-07-10|A la brunante|0|Conte cinematographique avec Lily James, Cate Blanchett et Helena Bonham Carter. (G)A la mort de sa femme, le pere d'Ella epouse en secondes noces Lady Tremaine, une femme vile et ambitieuse. Avec ses deux filles, Anastasia et Drizella, Lady Tremaine s'installe dans la maison familiale ou Ella l'accueille. Un jour, le pere d'Ella parti en voyage d'affaires meurt a son tour dans un accident. Mechante et detentrice de tous les pouvoirs, Lady Tremaine relegue Ella au grenier en plus de lui confier toutes les taches menageres. La jolie jeune femme au grand cœur accepte ce sort injuste par amour pour ses parents defunts. Pendant ce temps, dans le royaume, on annonce la tenue d'un somptueux bal au chateau. C'est a cette occasion unique que le prince choisira sa future epouse.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Cinema|Cinema en plein air presente Cendrillon (2015)|2015-07-10|2015-07-10|A la brunante|0|Conte cinematographique avec Lily James, Cate Blanchett et Helena Bonham Carter. (G)A la mort de sa femme, le pere d'Ella epouse en secondes noces Lady Tremaine, une femme vile et ambitieuse. Avec ses deux filles, Anastasia et Drizella, Lady Tremaine s'installe dans la maison familiale ou Ella l'accueille. Un jour, le pere d'Ella parti en voyage d'affaires meurt a son tour dans un accident. Mechante et detentrice de tous les pouvoirs, Lady Tremaine relegue Ella au grenier en plus de lui confier toutes les taches menageres. La jolie jeune femme au grand cœur accepte ce sort injuste par amour pour ses parents defunts. Pendant ce temps, dans le royaume, on annonce la tenue d'un somptueux bal au chateau. C'est a cette occasion unique que le prince choisira sa future epouse.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Activite familiale|Cinema en plein air presente Paddington|2015-07-24|2015-07-24|A la brunante|0|Comedie avec Hugh Bonneville, Sally Hawkins et Julie Walters. (G)Dans les profondeurs de la foret peruvienne, l'explorateur britannique Montgomery Clyde se lie d'amitie avec une espece rare d'ours dotes d'une intelligence humaine. Grace a lui, les mammiferes apprennent l'anglais et decouvrent la delicieuse marmelade d'oranges. Des annees plus tard, apres un terrible seisme, un ourson decide de quitter son pays natal et de se rendre a Londres pour y refaire sa vie. Cache dans un paquebot, il traverse clandestinement l'ocean. Le destin le conduit a la gare de Paddington ou la famille Brown accepte de l'heberger provisoirement.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Cinema|Cinema en plein air presente Paddington|2015-07-24|2015-07-24|A la brunante|0|Comedie avec Hugh Bonneville, Sally Hawkins et Julie Walters. (G)Dans les profondeurs de la foret peruvienne, l'explorateur britannique Montgomery Clyde se lie d'amitie avec une espece rare d'ours dotes d'une intelligence humaine. Grace a lui, les mammiferes apprennent l'anglais et decouvrent la delicieuse marmelade d'oranges. Des annees plus tard, apres un terrible seisme, un ourson decide de quitter son pays natal et de se rendre a Londres pour y refaire sa vie. Cache dans un paquebot, il traverse clandestinement l'ocean. Le destin le conduit a la gare de Paddington ou la famille Brown accepte de l'heberger provisoirement.|4|418-641-6045||cindy.asselin@ville.quebec.qc.ca||Parc Montpellier||espace vert au coin des rues Montpellier et Pierre-Paul-Bertin|418--|Beauport
Activite familiale|Spectacle de cirque Crepuscule|2015-07-21|2015-09-06|Ouverture des portes 21 juillet au 16 aout : 19 h 30 18 au 30 aout : 19 h 1er au 6 septembre : 18 h 30|0|Crepuscule est l'histoire de grands enfants qui ont invente un village suspendu. Un endroit qui n'existe qu'en suspension entre l'avant et l'apres. Un moment entre le jour et la nuit, ou l'on retient son souffle pour ne pas eteindre la lumiere qui s'en va. Le spectacle mettra en scene 19 artistes de cirque de niveau mondial, parmi les meilleurs de leur profession, qui reviennent dans la ville qui les a vus grandir. Accompagnes de deux musiciens, ils installent leurs quartiers a l'Agora pour preparer une fete inoubliable chargee de beaute, de lumiere et de vie, a laquelle tous sont convies.|0||||http://www.ville.quebec.qc.ca/cirque|Agora - Port de Quebec||150, Dalhousie|418--|La Cite-Limoilou
Activite multiculturelle|Spectacle de cirque Crepuscule|2015-07-21|2015-09-06|Ouverture des portes 21 juillet au 16 aout : 19 h 30 18 au 30 aout : 19 h 1er au 6 septembre : 18 h 30|0|Crepuscule est l'histoire de grands enfants qui ont invente un village suspendu. Un endroit qui n'existe qu'en suspension entre l'avant et l'apres. Un moment entre le jour et la nuit, ou l'on retient son souffle pour ne pas eteindre la lumiere qui s'en va. Le spectacle mettra en scene 19 artistes de cirque de niveau mondial, parmi les meilleurs de leur profession, qui reviennent dans la ville qui les a vus grandir. Accompagnes de deux musiciens, ils installent leurs quartiers a l'Agora pour preparer une fete inoubliable chargee de beaute, de lumiere et de vie, a laquelle tous sont convies.|0||||http://www.ville.quebec.qc.ca/cirque|Agora - Port de Quebec||150, Dalhousie|418--|La Cite-Limoilou
Activite petit budget|Spectacle de cirque Crepuscule|2015-07-21|2015-09-06|Ouverture des portes 21 juillet au 16 aout : 19 h 30 18 au 30 aout : 19 h 1er au 6 septembre : 18 h 30|0|Crepuscule est l'histoire de grands enfants qui ont invente un village suspendu. Un endroit qui n'existe qu'en suspension entre l'avant et l'apres. Un moment entre le jour et la nuit, ou l'on retient son souffle pour ne pas eteindre la lumiere qui s'en va. Le spectacle mettra en scene 19 artistes de cirque de niveau mondial, parmi les meilleurs de leur profession, qui reviennent dans la ville qui les a vus grandir. Accompagnes de deux musiciens, ils installent leurs quartiers a l'Agora pour preparer une fete inoubliable chargee de beaute, de lumiere et de vie, a laquelle tous sont convies.|0||||http://www.ville.quebec.qc.ca/cirque|Agora - Port de Quebec||150, Dalhousie|418--|La Cite-Limoilou
Activites estivales|Spectacle de cirque Crepuscule|2015-07-21|2015-09-06|Ouverture des portes 21 juillet au 16 aout : 19 h 30 18 au 30 aout : 19 h 1er au 6 septembre : 18 h 30|0|Crepuscule est l'histoire de grands enfants qui ont invente un village suspendu. Un endroit qui n'existe qu'en suspension entre l'avant et l'apres. Un moment entre le jour et la nuit, ou l'on retient son souffle pour ne pas eteindre la lumiere qui s'en va. Le spectacle mettra en scene 19 artistes de cirque de niveau mondial, parmi les meilleurs de leur profession, qui reviennent dans la ville qui les a vus grandir. Accompagnes de deux musiciens, ils installent leurs quartiers a l'Agora pour preparer une fete inoubliable chargee de beaute, de lumiere et de vie, a laquelle tous sont convies.|0||||http://www.ville.quebec.qc.ca/cirque|Agora - Port de Quebec||150, Dalhousie|418--|La Cite-Limoilou
Cirque|Spectacle de cirque Crepuscule|2015-07-21|2015-09-06|Ouverture des portes 21 juillet au 16 aout : 19 h 30 18 au 30 aout : 19 h 1er au 6 septembre : 18 h 30|0|Crepuscule est l'histoire de grands enfants qui ont invente un village suspendu. Un endroit qui n'existe qu'en suspension entre l'avant et l'apres. Un moment entre le jour et la nuit, ou l'on retient son souffle pour ne pas eteindre la lumiere qui s'en va. Le spectacle mettra en scene 19 artistes de cirque de niveau mondial, parmi les meilleurs de leur profession, qui reviennent dans la ville qui les a vus grandir. Accompagnes de deux musiciens, ils installent leurs quartiers a l'Agora pour preparer une fete inoubliable chargee de beaute, de lumiere et de vie, a laquelle tous sont convies.|0||||http://www.ville.quebec.qc.ca/cirque|Agora - Port de Quebec||150, Dalhousie|418--|La Cite-Limoilou
Cirque|Spectacle de cirque Crepuscule|2015-07-21|2015-09-06|Ouverture des portes 21 juillet au 16 aout : 19 h 30 18 au 30 aout : 19 h 1er au 6 septembre : 18 h 30|0|Crepuscule est l'histoire de grands enfants qui ont invente un village suspendu. Un endroit qui n'existe qu'en suspension entre l'avant et l'apres. Un moment entre le jour et la nuit, ou l'on retient son souffle pour ne pas eteindre la lumiere qui s'en va. Le spectacle mettra en scene 19 artistes de cirque de niveau mondial, parmi les meilleurs de leur profession, qui reviennent dans la ville qui les a vus grandir. Accompagnes de deux musiciens, ils installent leurs quartiers a l'Agora pour preparer une fete inoubliable chargee de beaute, de lumiere et de vie, a laquelle tous sont convies.|0||||http://www.ville.quebec.qc.ca/cirque|Agora - Port de Quebec||150, Dalhousie|418--|La Cite-Limoilou
Activite familiale|La Fete interculturelle|2015-06-13|2015-06-13|De 11 h a 16 h|0|Cette fete est une occasion de celebrer les cultures d'ici et d'ailleurs, par le biais d'activites, d'expositions d'artisanats, de mets culinaires et de prestations musicales.  Une invitation a venir decouvrir les richesses de notre communaute!   La fete a lieu a l'exterieur, sur la rue Raoul-Jobin, entre les rues Marie-de-l'Incarnation et Montmagny.|3|418-522-5681-107||julie.huot@centredurocher.org|http://www.centredurocher.org|Centre Monseigneur-Bouffard||680, rue Raoul-Jobin|418--|La Cite-Limoilou
Activite multiculturelle|La Fete interculturelle|2015-06-13|2015-06-13|De 11 h a 16 h|0|Cette fete est une occasion de celebrer les cultures d'ici et d'ailleurs, par le biais d'activites, d'expositions d'artisanats, de mets culinaires et de prestations musicales.  Une invitation a venir decouvrir les richesses de notre communaute!   La fete a lieu a l'exterieur, sur la rue Raoul-Jobin, entre les rues Marie-de-l'Incarnation et Montmagny.|3|418-522-5681-107||julie.huot@centredurocher.org|http://www.centredurocher.org|Centre Monseigneur-Bouffard||680, rue Raoul-Jobin|418--|La Cite-Limoilou
Activite petit budget|La Fete interculturelle|2015-06-13|2015-06-13|De 11 h a 16 h|0|Cette fete est une occasion de celebrer les cultures d'ici et d'ailleurs, par le biais d'activites, d'expositions d'artisanats, de mets culinaires et de prestations musicales.  Une invitation a venir decouvrir les richesses de notre communaute!   La fete a lieu a l'exterieur, sur la rue Raoul-Jobin, entre les rues Marie-de-l'Incarnation et Montmagny.|3|418-522-5681-107||julie.huot@centredurocher.org|http://www.centredurocher.org|Centre Monseigneur-Bouffard||680, rue Raoul-Jobin|418--|La Cite-Limoilou
Eveil a la lecture|Heure du conte (Chien bleu)|2015-05-27|2015-05-27|10 h|2|Les enfants entrent dans le monde fascinant des livres. L'atelier est consacre a la lecture d'un conte passionnant et a des suggestions de lecture. Avec Brigitte Brideau d'apres le livre de Nadja  aux L'Ecole des loisirs.|-1|418-641-6791||||Bibliotheque Saint-Albert||5, rue des Ormes|418-641-6791|La Cite-Limoilou
Cinema|Cinema du jeudi (La vie secrete de Walter Mitty)|2015-05-28|2015-05-28|18 h 30|0|Realisation : Ben Stiller. Acteurs : Ben Stiller, Kristen Wiig, Adrian Martinez, Shirley MacLaine, Kathryn Hahn et Sean Penn. Walter Mitty, un celibataire endurci de 42 ans au temperament reveur, travaille depuis des annees pour le magazine Life. Natif du New Jersey, il est tombe amoureux de sa collegue Cheryl, mais est incapable de lui adresser la parole. Il est charge de la gestion des negatifs des photographes du magazine, dont ceux envoyes par le celebre Sean O'Connell. Lorsque le negatif de la photo la plus importante de sa carriere est perdu, Walter se lance a la poursuite du photographe-aventurier. Ce voyage le menera de New York a l'Islande, en passant par les Himalayas et Los Angeles.|-1|418-641-6277-2||||Bibliotheque Monique-Corriveau||1100, route de l'Eglise|418-641-6277|Sainte-Foy-Sillery-Cap-Rouge
Exposition|DEHORS DEDANS, exposition nomade - FLEUVE|2015-05-08|2015-07-19||0|DEHORS DEDANS est une exposition sensorielle et contemplative pour la petite enfance, installee dans trois bibliotheques de Quebec. A l'interieur de maisonnettes, toutes differentes, le tout-petit decouvrira des œuvres de la collection Pret d'œuvres d'art du Musee national des beaux-arts du Quebec, mises en scene et en son dans un environnement immersif.La bibliotheque Monique Corriveau accueille la maison FLEUVE, un espace de liberte, ou il fait bon contempler le large et se laisser bercer par le bruit des vagues. Dehors Dedans, est un parcours installatif surprenant et ludique.Une collaboration des Incompletes, du Collectif Pierre&Marie, du Musee national des beaux-arts du Quebec et de la Bibliotheque de Quebec. Le vernissage aura lieu le dimanche 24 mai a 10 h a l'occasion de la fete des bebes lecteurs. Cette exposition, sous forme d'un parcours entre trois univers distincts, est presentee simultanement a la bibliotheque Felix-Leclerc et a la bibliotheque Gabrielle-Roy.|-1|||||Bibliotheque Monique-Corriveau||1100, route de l'Eglise|418-641-6277|Sainte-Foy-Sillery-Cap-Rouge
Atelier scientifique|Espace-Lab (FabLab)|2015-05-30|2015-05-30|De 10 h a 12 h|2|Espace-Lab (FabLab) est un atelier de fabrication qui met a la disposition de ses utilisateurs des machines-outils specialisees, des outils traditionnels et le savoir-faire necessaire pour les accompagner dans l'elaboration de leurs projets. Un savoir-faire technologique dans un fablab se developpe par le partage des connaissances entre les utilisateurs les reseaux regionaux et mondiaux des fablabs. Il est possible de s'inscrire en tout temps au fablab de la bibliotheque moyennant le paiement des frais d'abonnement annuels.|-1|418-641-6277-2||||Bibliotheque Monique-Corriveau||1100, route de l'Eglise|418-641-6277|Sainte-Foy-Sillery-Cap-Rouge
Atelier scientifique|Espace-Lab (FabLab)|2015-05-23|2015-05-23|De 10 h a 12 h|2|Espace-Lab (FabLab) est un atelier de fabrication qui met a la disposition de ses utilisateurs des machines-outils specialisees, des outils traditionnels et le savoir-faire necessaire pour les accompagner dans l'elaboration de leurs projets. Un savoir-faire technologique dans un fablab se developpe par le partage des connaissances entre les utilisateurs et les reseaux regionaux et mondiaux des fablabs. Il est possible de s'inscrire en tout temps au fablab de la bibliotheque moyennant le paiement des frais d'abonnement annuels.|-1|418-641-6277-2||||Bibliotheque Monique-Corriveau||1100, route de l'Eglise|418-641-6277|Sainte-Foy-Sillery-Cap-Rouge
Atelier scientifique|Espace-Lab (FabLab)|2015-05-26|2015-05-26|De 18 h 30 a 21h00|2|Espace-Lab (FabLab) est un atelier de fabrication qui met a la disposition de ses utilisateurs des machines-outils specialisees, des outils traditionnels et le savoir-faire necessaire pour les accompagner dans l'elaboration de leurs projets. Un savoir-faire technologique dans un fablab se developpe par le partage des connaissances entre les utilisateurs et les reseaux regionaux et mondiaux des fablabs. Il est possible de s'inscrire en tout temps au fablab de la bibliotheque moyennant le paiement des frais d'abonnement annuels.|-1|418-641-6277-2||||Bibliotheque Monique-Corriveau||1100, route de l'Eglise|418-641-6277|Sainte-Foy-Sillery-Cap-Rouge
